input_name,expected_name,expected_ticker
Federated University,Federated University Police Officer's Association,
Retail Delivery,Retail Delivery Drivers Local 2785,
Ohana Eye,Ohana Eye Center Inc,
CMR Financial,"CMR Financial Advisors, Inc.",
Marin Association,Marin Association of Public Employees,
Alameda Police,Alameda Police Officers' Association,
"Karen Temple,","Karen Temple, Attorney at Law, LLLC",
Northern Lights,Northern Lights Eye Care,
Lott Law,Lott Law Offices a Professional Law Corporation,
Melissa Parkin,Melissa Parkin and Drew Parkin (DBA) Parkins' OC Bowling Supply,
Traci L.,"Traci L. Schmalle, OD, LLC",
Los Angeles,Los Angeles Airport Peace Officers Association,
Rebecca L,"Rebecca L Cabatbat, O.D., Inc",
Colleen M.,"Colleen M. Ichiyama-Kong O.D., LLC",
Dr. Ken,Dr. Ken Sakuda,
Medical Doctors,Medical Doctors Imaging Inc,
Teamsters Local,Teamsters Local Union #856,
ABS Products,ABS Products Inc.,
Hawaii Carpenters,Hawaii Carpenters Market Recovery Fund (DBA) The Pacific Resource Partnership,
Business Administration,Business Administration Consultants,
Robert R,"Robert R Lai, CPA Inc",
Alameda Deputy,Alameda Deputy Sheriff's Association,
Sacramento Police,Sacramento Police Officers Association,
Nelson O.,"Nelson O. Yoshioka Jr. O.D., Inc.",
United Public,United Public Employees Of California Local 792,
Strong Holdings,Strong Holdings Inc (DBA) Keller Williams Westland Realty,
Starr Property,Starr Property Management LLC,
The Williams,The Williams Survivor's Trust,
"Chauffeurs, Teamsters","Chauffeurs, Teamsters and Helpers Local Union #150",
Coghill Group,Coghill Group PC,
Carmel Classics,Carmel Classics Inc; Cannery Row Classics (DBA) Carmel Classics,
Hawaii Engineering,"Hawaii Engineering Group, Inc.",
MJC International,MJC International Group LLC,
San Francisco,San Francisco Deputy Sheriffs' Association,
U.A. Local,U.A. Local No. 442,
San Mateo,San Mateo Police Officers Association,
"Tyrell Law,","Tyrell Law, PLLC",
IBEW Local,IBEW Local Union No. 413,
"TNWRE, Inc.","TNWRE, Inc. (DBA) Tom Nance Water  Resource Engineering",
Jamir LLC,Jamir LLC,
Regional Radiological,"Regional Radiological Associates , Inc",
Windward Vision,"Windward Vision Center Associates, Inc.",
International Moulders,International Moulders Ltd,
Looney &,"Looney & Associates, LLC",
"Mechanical Enterprises,","Mechanical Enterprises, Inc.",
Mon Roc,"Mon Roc Administrators, LLC",
Hotel Union,Hotel Union and Hotel Industry of Hawaii 401(K) Retirement Savings Trust Fund,
California Teachers,California Teachers Association Employees' Retirement Benefit Plan,
Furman &,Furman & Hauswirth,
IBEW Local,IBEW Local Union 234,
Ansel Adams,Ansel Adams Family Trust and William & Mary Shaw Trust (DBA) Enterprise Cannery,
Oregon &,Oregon & Southern Idaho District Council Of Laborers,
Rob's Electric,Rob's Electric Inc,
Utility Professional,"Utility Professional Services, Inc.",
Pro Engineers,Pro Engineers Group,
Quality Insurance,"Quality Insurance Administration Services, LLC",
National Association,National Association Of Credit Management of Florida,
The Laurel,The Laurel Avenue Trust,
Northeast Consumers,Northeast Consumers Electric Systems Association,
T-Squared Site,"T-Squared Site Services, LLC",
Retirement Plan,Retirement Plan for Hospital Employees,
KCL Engineering,KCL Engineering LLC,
Herzog &,Herzog & de Meuron US Inc.,
Raymond Martin,"Raymond Martin Data Systems, LLC",
Bushwang LLC,Bushwang LLC,
"Flash Electric,","Flash Electric, LLC",
Material Solutions,Material Solutions Laboratory Inc,
Judge Baker,"Judge Baker Children's Center, Inc.",
Quality Control,Quality Control Services LLC,
GLM Group,GLM Group Holdings LLC,
Tom Green,Tom Green Engineering,
"Keller Studio,","Keller Studio, Inc.",
"NTA Engineering,","NTA Engineering, PC",
Empirical Insurance,Empirical Insurance LLC,
"input_name","expected_name","expected_ticker"
"Artius II","Artius II Acquisition Inc. - Class A Ordinary Shares","AACB"
"Artius II","Artius II Acquisition Inc. - Rights","AACBR"
"Artius II","Artius II Acquisition Inc. - Units","AACBU"
"ATA Creativity","ATA Creativity Global - American Depositary Shares, each representing two common shares","AACG"
"AdvisorShares Dorsey","AdvisorShares Dorsey Wright ADR ETF","AADR"
"American Airlines","American Airlines Group, Inc. - Common Stock","AAL"
"Atlantic American","Atlantic American Corporation - Common Stock","AAME"
"Applied Optoelectronics","Applied Optoelectronics, Inc. - Common Stock","AAOI"
"AAON Inc.","AAON, Inc. - Common Stock","AAON"
"GraniteShares 2x","GraniteShares 2x Long AAPL Daily ETF","AAPB"
"Direxion Daily","Direxion Daily AAPL Bear 1X Shares","AAPD"
"Ascentage Pharma","Ascentage Pharma Group International - American Depository Shares","AAPG"
"Apple Inc.","Apple Inc. - Common Stock","AAPL"
"Direxion Daily","Direxion Daily AAPL Bull 2X Shares","AAPU"
"Aardvark Therapeutics","Aardvark Therapeutics, Inc. - Common Stock","AARD"
"Alpha Architect","Alpha Architect Global Factor Equity ETF","AAVM"
"iShares MSCI","iShares MSCI All Country Asia ex Japan ETF","AAXJ"
"American Battery","American Battery Technology Company - Common Stock","ABAT"
"AbCellera Biologics","AbCellera Biologics Inc. - Common Shares","ABCL"
"Alpha Blue","Alpha Blue Capital US Small-Mid Cap Dynamic ETF","ABCS"
"Abeona Therapeutics","Abeona Therapeutics Inc. - Common Stock","ABEO"
"Argent Large","Argent Large Cap ETF","ABIG"
"Abacus Global","Abacus Global Management, Inc. - Class A Common Stock","ABL"
"Abacus Global","Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028","ABLLL"
"Abacus Global","Abacus Global Management, Inc. - Warrant","ABLLW"
"Able View","Able View Global Inc. - Class B Ordinary Shares","ABLV"
"Able View","Able View Global Inc. - Warrant","ABLVW"
"Airbnb Inc.","Airbnb, Inc. - Class A Common Stock","ABNB"
"Acumen Pharmaceuticals","Acumen Pharmaceuticals, Inc. - Common Stock","ABOS"
"Abpro Holdings","Abpro Holdings, Inc - Common Stock","ABP"
"Abpro Holdings","Abpro Holdings, Inc - Warrant","ABPWW"
"Absci Corporation","Absci Corporation - Common Stock","ABSI"
"Abits Group","Abits Group Inc - Ordinary Shares","ABTS"
"Arbutus Biopharma","Arbutus Biopharma Corporation - Common Stock","ABUS"
"ABVC BioPharma","ABVC BioPharma, Inc. - Common Stock","ABVC"
"Above Food","Above Food Ingredients Inc. - Common Stock","ABVE"
"Above Food","Above Food Ingredients Inc. - Warrant","ABVEW"
"Abivax SA","Abivax SA - American Depositary Shares","ABVX"
"ACADIA Pharmaceuticals","ACADIA Pharmaceuticals Inc. - Common Stock","ACAD"
"Aurora Cannabis","Aurora Cannabis Inc. - Common Shares","ACB"
"ProFrac Holding","ProFrac Holding Corp. - Class A Common Stock","ACDC"
"Adicet Bio","Adicet Bio, Inc. - Common Stock","ACET"
"Arch Capital","Arch Capital Group Ltd. - Common Stock","ACGL"
"Arch Capital","Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G","ACGLN"
"Arch Capital","Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F","ACGLO"
"Acadia Healthcare","Acadia Healthcare Company, Inc. - Common Stock","ACHC"
"Achieve Life","Achieve Life Sciences, Inc.  - Common Shares","ACHV"
"American Coastal","American Coastal Insurance Corporation - Common Stock","ACIC"
"AC Immune","AC Immune SA - Common Stock","ACIU"
"ACI Worldwide","ACI Worldwide, Inc. - Common Stock","ACIW"
"Axcelis Technologies","Axcelis Technologies, Inc. - Common Stock","ACLS"
"Arcellx Inc.","Arcellx, Inc. - Common Stock","ACLX"
"ACM Research","ACM Research, Inc. - Class A Common Stock","ACMR"
"ACNB Corporation","ACNB Corporation - Common Stock","ACNB"
"Ascent Industries","Ascent Industries Co. - Common Stock","ACNT"
"Alpha Cognition","Alpha Cognition Inc. - Common Stock","ACOG"
"Aclarion Inc.","Aclarion, Inc. - Common Stock","ACON"
"Aclarion Inc.","Aclarion, Inc. - Warrant","ACONW"
"Aclaris Therapeutics","Aclaris Therapeutics, Inc. - Common Stock","ACRS"
"Acrivon Therapeutics","Acrivon Therapeutics, Inc. - Common Stock","ACRV"
"Enact Holdings","Enact Holdings, Inc. - Common Stock","ACT"
"Acacia Research","Acacia Research Corporation - Common Stock","ACTG"
"Actuate Therapeutics","Actuate Therapeutics, Inc. - Common stock","ACTU"
"iShares MSCI","iShares MSCI ACWI ETF","ACWI"
"iShares MSCI","iShares MSCI ACWI ex U.S. ETF","ACWX"
"Acurx Pharmaceuticals","Acurx Pharmaceuticals, Inc. - Common Stock","ACXP"
"Adagene Inc.","Adagene Inc. - ADS, each representing 1.25 ordinary shares","ADAG"
"Adaptimmune Therapeutics","Adaptimmune Therapeutics plc - American Depositary Shares","ADAP"
"Adobe Inc.","Adobe Inc. - Common Stock","ADBE"
"Leverage Shares","Leverage Shares 2X Long ADBE Daily ETF","ADBG"
"Color Star","Color Star Technology Co., Ltd. - Class A Ordinary Shares","ADD"
"Adeia Inc.","Adeia Inc.  - Common Stock","ADEA"
"Adagio Medical","Adagio Medical Holdings, Inc - Common Stock","ADGM"
"Analog Devices","Analog Devices, Inc. - Common Stock","ADI"